Country,Currency,ISO Code,UIC Code,Rate,Rate convention,Reference date (CET)
MACAU,Pataca,MOP,156,9.0893,Foreign currency amount for 1 Euro ,2021-12-27
MACEDONIA (form. Yugoslav Rep),Macedonian Denar,MKD,236,61.5445,Foreign currency amount for 1 Euro ,2021-12-27
MADAGASCAR,Ariary,MGA,268,4474.38,Foreign currency amount for 1 Euro ,2021-12-27
MALAWI,Malawi Kwacha,MWK,157,918.4191,Foreign currency amount for 1 Euro ,2021-12-27
MALAYSIA,Ringgit,MYR,055,4.7318,Foreign currency amount for 1 Euro ,2021-12-27
MALDIVES,Rufiyaa,MVR,158,17.4318,Foreign currency amount for 1 Euro ,2021-12-27
MALI,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
MAURITANIA,Ouguiya,MRU,282,41.074,Foreign currency amount for 1 Euro ,2021-12-27
MAURITIUS,Mauritian Rupee,MUR,170,49.3086,Foreign currency amount for 1 Euro ,2021-12-27
MEXICO,Mexican Peso,MXN,222,23.3216,Foreign currency amount for 1 Euro ,2021-12-27
MOLDOVA,Moldovan Leu,MDL,235,20.1609,Foreign currency amount for 1 Euro ,2021-12-27
MONGOLIA,Tugrik,MNT,160,3222.91,Foreign currency amount for 1 Euro ,2021-12-27
MOROCCO,Moroccan Dirham,MAD,084,10.478,Foreign currency amount for 1 Euro ,2021-12-27
MOZAMBIQUE,New Mozambique Metical,MZN,272,72.41,Foreign currency amount for 1 Euro ,2021-12-27
MYANMAR,Kyat,MMK,107,2011.3,Foreign currency amount for 1 Euro ,2021-12-27
NAMIBIA,Namibian Dollar,NAD,252,17.5609,Foreign currency amount for 1 Euro ,2021-12-27
NEPAL,Nepalese Rupee,NPR,161,135.6968,Foreign currency amount for 1 Euro ,2021-12-27
NETHERLANDS ANTILLES,Netherlands Antillean Guilder,ANG,132,2.0248,Foreign currency amount for 1 Euro ,2021-12-27
NEW ZEALAND,New Zealand Dollar,NZD,113,1.6660,Foreign currency amount for 1 Euro ,2021-12-27
NICARAGUA,Cordoba,NIO,120,40.1273,Foreign currency amount for 1 Euro ,2021-12-27
NIGER,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
NIGERIA,Naira,NGN,081,465.4322,Foreign currency amount for 1 Euro ,2021-12-27
NORWAY,Norwegian Krone,NOK,008,10.0405,Foreign currency amount for 1 Euro ,2021-12-27
OMAN,Rial Omani,OMR,184,0.4349,Foreign currency amount for 1 Euro ,2021-12-27
PAKISTAN,Pakistan Rupee,PKR,026,201.9244,Foreign currency amount for 1 Euro ,2021-12-27
PANAMA,Balboa,PAB,162,1.1312,Foreign currency amount for 1 Euro ,2021-12-27
PAPUA NEW GUINEA,Kina,PGK,190,3.9677,Foreign currency amount for 1 Euro ,2021-12-27
PARAGUAY,Paraguayan Guarani,PYG,101,7696.78,Foreign currency amount for 1 Euro ,2021-12-27
PERU,Nuevo Sol,PEN,201,4.5271,Foreign currency amount for 1 Euro ,2021-12-27
PHILIPPINES,Philippine Peso,PHP,066,56.8300,Foreign currency amount for 1 Euro ,2021-12-27
POLAND,Zloty,PLN,237,4.6050,Foreign currency amount for 1 Euro ,2021-12-27
QATAR,Qatar Riyal,QAR,189,4.1176,Foreign currency amount for 1 Euro ,2021-12-27
ROMANIA,New Romanian Leu,RON,270,4.9498,Foreign currency amount for 1 Euro ,2021-12-27
RUSSIAN FEDERATION,Russian Ruble,RUB,244,83.2088,Foreign currency amount for 1 Euro ,2021-12-27
RWANDA,Rwanda Franc,RWF,163,1158.0344,Foreign currency amount for 1 Euro ,2021-12-27
SAO TOME and PRINCIPE,Dobra,STN,283,24.5000,Foreign currency amount for 1 Euro ,2021-12-27
SAUDI ARABIA,Saudi Arabian Riyal,SAR,075,4.2420,Foreign currency amount for 1 Euro ,2021-12-27
SENEGAL,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
SERBIA,Serbian Dinar,RSD,274,117.5249,Foreign currency amount for 1 Euro ,2021-12-27
SEYCHELLES,Seychelles Rupee,SCR,185,16.6385,Foreign currency amount for 1 Euro ,2021-12-27
SIERRA LEONE,Leone,SLL,165,12753.11,Foreign currency amount for 1 Euro ,2021-12-27
SINGAPORE,Singapore Dollar,SGD,124,1.5354,Foreign currency amount for 1 Euro ,2021-12-27
SOLOMON (Islands),Solomon Islands Dollar,SBD,206,9.1595,Foreign currency amount for 1 Euro ,2021-12-27
SOMALIA,Somali Shilling,SOS,065,654.8404,Foreign currency amount for 1 Euro ,2021-12-27
SOUTH AFRICA,South African Rand,ZAR,082,17.5609,Foreign currency amount for 1 Euro ,2021-12-27
SOUTH SUDAN,South Sudanese Pound,SSP,279,479.8967,Foreign currency amount for 1 Euro ,2021-12-27
SRI LANKA,Sri Lanka Rupee,LKR,058,228.9777,Foreign currency amount for 1 Euro ,2021-12-27
ST. HELENA,St. Helena Pound,SHP,207,0.84330,Foreign currency amount for 1 Euro ,2021-12-27
ST. KITTS AND NEVIS,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
ST. LUCIA,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
ST. VINCENT and the GRENADINES,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
SUDAN,Sudanese Pound,SDG,275,495.3693,Foreign currency amount for 1 Euro ,2021-12-27
SURINAME,Suriname Dollar,SRD,266,24.030,Foreign currency amount for 1 Euro ,2021-12-27
SWEDEN,Swedish Krona,SEK,009,10.3250,Foreign currency amount for 1 Euro ,2021-12-27
SWITZERLAND,Swiss Franc,CHF,003,1.0396,Foreign currency amount for 1 Euro ,2021-12-27
SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,036,2841.5744,Foreign currency amount for 1 Euro ,2021-12-27
TAIWAN,New Taiwan Dollar,TWD,143,31.3457,Foreign currency amount for 1 Euro ,2021-12-27
TAJIKISTAN,Somoni,TJS,264,12.7826,Foreign currency amount for 1 Euro ,2021-12-27
TANZANIA,Tanzania Shilling,TZS,125,2606.9003,Foreign currency amount for 1 Euro ,2021-12-27
THAILAND,Baht,THB,073,37.963,Foreign currency amount for 1 Euro ,2021-12-27
TOGO,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
TONGA,Pa anga,TOP,167,2.5541,Foreign currency amount for 1 Euro ,2021-12-27
TRINIDAD and TOBAGO,Trinidad and Tobago Dollar,TTD,166,7.6709,Foreign currency amount for 1 Euro ,2021-12-27
TUNISIA,Tunisian Dinar,TND,080,3.2585,Foreign currency amount for 1 Euro ,2021-12-27
TURKEY,Turkey Lira (new),TRY,267,12.8099,Foreign currency amount for 1 Euro ,2021-12-27
TURKMENISTAN,Turkmen Manat (new),TMT,278,3.9592,Foreign currency amount for 1 Euro ,2021-12-27
UGANDA,Uganda Shilling,UGX,126,4007.90,Foreign currency amount for 1 Euro ,2021-12-27
UKRAINE,Hryvnia,UAH,241,30.8485,Foreign currency amount for 1 Euro ,2021-12-27
UNITED ARAB EMIRATES,U.A.E. Dirham,AED,187,4.1543,Foreign currency amount for 1 Euro ,2021-12-27
UNITED KINGDOM,Pound Sterling,GBP,002,0.84330,Foreign currency amount for 1 Euro ,2021-12-27
UNITED STATES,U.S. Dollar,USD,001,1.1312,Foreign currency amount for 1 Euro ,2021-12-27
URUGUAY,Uruguayan Peso,UYU,053,50.2228,Foreign currency amount for 1 Euro ,2021-12-27
UZBEKISTAN,Uzbek Sum,UZS,232,12217.96,Foreign currency amount for 1 Euro ,2021-12-27
VANUATU,Vatu,VUV,208,127.08,Foreign currency amount for 1 Euro ,2021-12-27
VENEZUELA,Bolivar Soberano,VES,284,5.1789,Foreign currency amount for 1 Euro ,2021-12-27
VIETNAM,Dong,VND,145,25850,Foreign currency amount for 1 Euro ,2021-12-27
WESTERN SAMOA,Tala,WST,164,2.9283,Foreign currency amount for 1 Euro ,2021-12-27
YEMEN,Yemeni Rial,YER,122,283.06,Foreign currency amount for 1 Euro ,2021-12-27
ZAMBIA,Zambian Kwacha,ZMW,148,18.7367,Foreign currency amount for 1 Euro ,2021-12-27
ZIMBABWE,Zimbabwe Dollar,ZWL,061,122.9230,Foreign currency amount for 1 Euro ,2021-12-27
