Country,Currency,ISO Code,UIC Code,Rate,Rate convention,Reference date (CET)
AFGHANISTAN (Islamic State of),Afghani,AFN,115,117.4610,Foreign currency amount for 1 Euro ,2021-12-27
ALBANIA,Lek,ALL,047,120.35,Foreign currency amount for 1 Euro ,2021-12-27
ALGERIA,Algerian Dinar,DZD,106,157.1046,Foreign currency amount for 1 Euro ,2021-12-27
ANGOLA,Adjusted Kwanza,AOA,087,641.985,Foreign currency amount for 1 Euro ,2021-12-27
ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
ARGENTINA,Peso,ARS,216,115.7486,Foreign currency amount for 1 Euro ,2021-12-27
ARMENIA,Armenian Dram,AMD,246,550.20,Foreign currency amount for 1 Euro ,2021-12-27
ARUBA,Aruban Florin,AWG,211,2.0248,Foreign currency amount for 1 Euro ,2021-12-27
AUSTRALIA,Australian Dollar,AUD,109,1.5685,Foreign currency amount for 1 Euro ,2021-12-27
AZERBAIJAN,New Azerbaijan Manat,AZN,271,1.9230,Foreign currency amount for 1 Euro ,2021-12-27
BAHAMAS (The),Bahamian Dollar,BSD,135,1.1312,Foreign currency amount for 1 Euro ,2021-12-27
BAHRAIN,Bahrain Dinar,BHD,136,0.425,Foreign currency amount for 1 Euro ,2021-12-27
BANGLADESH,Bangladesh Taka,BDT,174,97.0570,Foreign currency amount for 1 Euro ,2021-12-27
BARBADOS,Barbados Dollar,BBD,195,2.262400,Foreign currency amount for 1 Euro ,2021-12-27
BELARUS,Belarussian Ruble (new),BYN,280,2.8482,Foreign currency amount for 1 Euro ,2021-12-27
BELIZE,Belize Dollar,BZD,152,2.2624,Foreign currency amount for 1 Euro ,2021-12-27
BENIN,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
BERMUDA,Bermuda Dollar,BMD,138,1.1312,Foreign currency amount for 1 Euro ,2021-12-27
BHUTAN,Ngultrum,BTN,180,84.8105,Foreign currency amount for 1 Euro ,2021-12-27
BOLIVIA,Boliviano,BOB,074,7.8166,Foreign currency amount for 1 Euro ,2021-12-27
BOSNIA and HERZEGOVINA,Convertible Marks,BAM,240,1.95583,Foreign currency amount for 1 Euro ,2021-12-27
BOTSWANA,Botswana Pula,BWP,171,13.1535,Foreign currency amount for 1 Euro ,2021-12-27
BRAZIL,Real,BRL,234,6.4157,Foreign currency amount for 1 Euro ,2021-12-27
BRUNEI DARUSSALAM,Brunei Dollar,BND,139,1.5354,Foreign currency amount for 1 Euro ,2021-12-27
BULGARIA,Bulgarian New Lev,BGN,262,1.9558,Foreign currency amount for 1 Euro ,2021-12-27
BURKINA FASO,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
BURUNDI,Burundi Franc,BIF,140,2262.005,Foreign currency amount for 1 Euro ,2021-12-27
CAMBODIA,Cambodian Riel,KHR,141,4608.88,Foreign currency amount for 1 Euro ,2021-12-27
CAMEROON,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
CANADA,Canadian Dollar,CAD,012,1.4529,Foreign currency amount for 1 Euro ,2021-12-27
CAPE VERDE,Cape Verde Escudo,CVE,181,110.265,Foreign currency amount for 1 Euro ,2021-12-27
CAYMAN (Islands),Cayman Dollar,KYD,205,0.9276,Foreign currency amount for 1 Euro ,2021-12-27
CENTRAL AFRICAN REPUBLIC,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
CHAD,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
CHILE,Chilean Peso,CLP,029,976.40,Foreign currency amount for 1 Euro ,2021-12-27
CHINA (People Republic of),Renminbi,CNY,144,7.2087,Foreign currency amount for 1 Euro ,2021-12-27
COLOMBIA,Colombian Peso,COP,040,4515.56,Foreign currency amount for 1 Euro ,2021-12-27
COMOROS,Comorian Franc,KMF,210,491.96775,Foreign currency amount for 1 Euro ,2021-12-27
CONGO (Democratic Republic of),Franc Congolais,CDF,261,2262.2983,Foreign currency amount for 1 Euro ,2021-12-27
CONGO (Republic of),CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
COSTA RICA,Costa Rican Colon,CRC,077,726.8299,Foreign currency amount for 1 Euro ,2021-12-27
COTE D IVOIRE,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
CROATIA,Kuna,HRK,229,7.5025,Foreign currency amount for 1 Euro ,2021-12-27
CUBA,Cuban Peso,CUP,067,27.1488,Foreign currency amount for 1 Euro ,2021-12-27
CZECH REPUBLIC,Czech Koruna,CZK,223,25.1390,Foreign currency amount for 1 Euro ,2021-12-27
DENMARK,Danish Krone,DKK,007,7.4362,Foreign currency amount for 1 Euro ,2021-12-27
DJIBOUTI,Djibouti Franc,DJF,083,201.038,Foreign currency amount for 1 Euro ,2021-12-27
DOMINICA,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
DOMINICAN REPUBLIC,Dominican Peso,DOP,116,64.6588,Foreign currency amount for 1 Euro ,2021-12-27
EGYPT,Egyptian Pound,EGP,070,17.7706,Foreign currency amount for 1 Euro ,2021-12-27
EL SALVADOR,Salvadoran Colon,SVC,117,9.8980,Foreign currency amount for 1 Euro ,2021-12-27
EQUATORIAL GUINEA,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
ERITREA,Nakfa,ERN,243,17.3979,Foreign currency amount for 1 Euro ,2021-12-27
ESWATINI (EX SWAZILAND),Lilangeni,SZL,173,17.5609,Foreign currency amount for 1 Euro ,2021-12-27
ETHIOPIA,Ethiopian Birr,ETB,068,55.9076,Foreign currency amount for 1 Euro ,2021-12-27
FALKLAND or MALVINE (Islands),Falkland Pound,FKP,146,0.84330,Foreign currency amount for 1 Euro ,2021-12-27
FIJI,Fiji Dollar,FJD,147,2.3966,Foreign currency amount for 1 Euro ,2021-12-27
FRENCH POLINESIA,CFP Franc,XPF,105,119.3317,Foreign currency amount for 1 Euro ,2021-12-27
GABON,CFA Franc,XAF,043,655.957,Foreign currency amount for 1 Euro ,2021-12-27
GAMBIA (The),Dalasi,GMD,193,54.70,Foreign currency amount for 1 Euro ,2021-12-27
GEORGIA,Lari,GEL,230,3.4756,Foreign currency amount for 1 Euro ,2021-12-27
GHANA,New Ghana Cedi,GHS,276,6.9759,Foreign currency amount for 1 Euro ,2021-12-27
GIBRALTAR,Gibraltar Pound,GIP,044,0.84330,Foreign currency amount for 1 Euro ,2021-12-27
GRENADA,East Caribbean Dollar,XCD,137,3.0542,Foreign currency amount for 1 Euro ,2021-12-27
GUATEMALA,Quetzal,GTQ,078,8.7338,Foreign currency amount for 1 Euro ,2021-12-27
GUINEA,Guinean Franc,GNF,129,10422.9433,Foreign currency amount for 1 Euro ,2021-12-27
GUINEA BISSAU,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-27
GUYANA,Guyanan Dollar,GYD,149,234.3960,Foreign currency amount for 1 Euro ,2021-12-27
HAITI,Gourde,HTG,151,113.9915,Foreign currency amount for 1 Euro ,2021-12-27
HONDURAS,Lempira,HNL,118,27.7297,Foreign currency amount for 1 Euro ,2021-12-27
HONG KONG (China),Hong Kong Dollar,HKD,103,8.8246,Foreign currency amount for 1 Euro ,2021-12-27
HUNGARY,Forint,HUF,153,370.2200,Foreign currency amount for 1 Euro ,2021-12-27
ICELAND,Icelandic Krona,ISK,062,147.40,Foreign currency amount for 1 Euro ,2021-12-27
INDIA,Indian Rupee,INR,031,84.8105,Foreign currency amount for 1 Euro ,2021-12-27
INDONESIA,Indonesian Rupiah,IDR,123,16081.55,Foreign currency amount for 1 Euro ,2021-12-27
IRAN (Islamic Republic of),Iranian Rial,IRR,057,47510,Foreign currency amount for 1 Euro ,2021-12-27
IRAQ,Iraq Dinar,IQD,093,1651.552,Foreign currency amount for 1 Euro ,2021-12-27
ISRAEL,New Sheqel,ILS,203,3.5465,Foreign currency amount for 1 Euro ,2021-12-27
JAMAICA,Jamaica Dollar,JMD,142,173.6341,Foreign currency amount for 1 Euro ,2021-12-27
JAPAN,Japanese Yen,JPY,071,129.7900,Foreign currency amount for 1 Euro ,2021-12-27
JORDAN,Jordan Dinar,JOD,089,0.8020,Foreign currency amount for 1 Euro ,2021-12-27
KAZAKHSTAN,Tenge,KZT,231,489.83,Foreign currency amount for 1 Euro ,2021-12-27
KENYA,Kenya Shilling,KES,022,127.9604,Foreign currency amount for 1 Euro ,2021-12-27
KOREA (Democratic People Rep.),North Korean Won,KPW,182,2.4886,Foreign currency amount for 1 Euro ,2021-12-27
KOREA (Republic of),South Korean Won,KRW,119,1343.60,Foreign currency amount for 1 Euro ,2021-12-27
KUWAIT,Kuwaiti Dinar,KWD,102,0.3423,Foreign currency amount for 1 Euro ,2021-12-27
KYRGYZ REPUBLIC,Som,KGS,225,95.9134,Foreign currency amount for 1 Euro ,2021-12-27
LAO PEOPLE S DEMOCRATIC REPUBL,Lao Kip,LAK,154,12455,Foreign currency amount for 1 Euro ,2021-12-27
LEBANON,Lebanese Pound,LBP,032,1705.28,Foreign currency amount for 1 Euro ,2021-12-27
LESOTHO,Loti,LSL,172,17.5609,Foreign currency amount for 1 Euro ,2021-12-27
LIBERIA,Liberian Dollar,LRD,155,162.0557,Foreign currency amount for 1 Euro ,2021-12-27
LIBYAN ARAB JAMAHIRIYA,Libyan Dinar,LYD,069,5.2044,Foreign currency amount for 1 Euro ,2021-12-27
