Country,Currency,ISO Code,UIC Code,Rate,Rate convention,Reference date (CET)
GHANA,New Ghana Cedi,GHS,276,6.9860,Foreign currency amount for 1 Euro ,2021-12-28
GIBRALTAR,Gibraltar Pound,GIP,044,0.84248,Foreign currency amount for 1 Euro ,2021-12-28
GRENADA,East Caribbean Dollar,XCD,137,3.0594,Foreign currency amount for 1 Euro ,2021-12-28
GUATEMALA,Quetzal,GTQ,078,8.7467,Foreign currency amount for 1 Euro ,2021-12-28
GUINEA,Guinean Franc,GNF,129,10423.6868,Foreign currency amount for 1 Euro ,2021-12-28
GUINEA BISSAU,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
GUYANA,Guyanan Dollar,GYD,149,234.7897,Foreign currency amount for 1 Euro ,2021-12-28
HAITI,Gourde,HTG,151,113.6967,Foreign currency amount for 1 Euro ,2021-12-28
HONDURAS,Lempira,HNL,118,27.7662,Foreign currency amount for 1 Euro ,2021-12-28
HONG KONG (China),Hong Kong Dollar,HKD,103,8.8380,Foreign currency amount for 1 Euro ,2021-12-28
HUNGARY,Forint,HUF,153,369.0800,Foreign currency amount for 1 Euro ,2021-12-28
ICELAND,Icelandic Krona,ISK,062,147.40,Foreign currency amount for 1 Euro ,2021-12-28
INDIA,Indian Rupee,INR,031,84.6335,Foreign currency amount for 1 Euro ,2021-12-28
INDONESIA,Indonesian Rupiah,IDR,123,16126.51,Foreign currency amount for 1 Euro ,2021-12-28
IRAN (Islamic Republic of),Iranian Rial,IRR,057,47590,Foreign currency amount for 1 Euro ,2021-12-28
IRAQ,Iraq Dinar,IQD,093,1654.326,Foreign currency amount for 1 Euro ,2021-12-28
ISRAEL,New Sheqel,ILS,203,3.5223,Foreign currency amount for 1 Euro ,2021-12-28
JAMAICA,Jamaica Dollar,JMD,142,173.9258,Foreign currency amount for 1 Euro ,2021-12-28
JAPAN,Japanese Yen,JPY,071,130.1600,Foreign currency amount for 1 Euro ,2021-12-28
JORDAN,Jordan Dinar,JOD,089,0.8034,Foreign currency amount for 1 Euro ,2021-12-28
KAZAKHSTAN,Tenge,KZT,231,490.97,Foreign currency amount for 1 Euro ,2021-12-28
KENYA,Kenya Shilling,KES,022,128.1671,Foreign currency amount for 1 Euro ,2021-12-28
KOREA (Democratic People Rep.),North Korean Won,KPW,182,2.4928,Foreign currency amount for 1 Euro ,2021-12-28
KOREA (Republic of),South Korean Won,KRW,119,1345.14,Foreign currency amount for 1 Euro ,2021-12-28
KUWAIT,Kuwaiti Dinar,KWD,102,0.3429,Foreign currency amount for 1 Euro ,2021-12-28
KYRGYZ REPUBLIC,Som,KGS,225,96.0760,Foreign currency amount for 1 Euro ,2021-12-28
LAO PEOPLE S DEMOCRATIC REPUBL,Lao Kip,LAK,154,12475,Foreign currency amount for 1 Euro ,2021-12-28
LEBANON,Lebanese Pound,LBP,032,1708.15,Foreign currency amount for 1 Euro ,2021-12-28
LESOTHO,Loti,LSL,172,17.8113,Foreign currency amount for 1 Euro ,2021-12-28
LIBERIA,Liberian Dollar,LRD,155,162.6338,Foreign currency amount for 1 Euro ,2021-12-28
LIBYAN ARAB JAMAHIRIYA,Libyan Dinar,LYD,069,5.2091,Foreign currency amount for 1 Euro ,2021-12-28
MACAU,Pataca,MOP,156,9.1031,Foreign currency amount for 1 Euro ,2021-12-28
MACEDONIA (form. Yugoslav Rep),Macedonian Denar,MKD,236,61.6205,Foreign currency amount for 1 Euro ,2021-12-28
MADAGASCAR,Ariary,MGA,268,4484.72,Foreign currency amount for 1 Euro ,2021-12-28
MALAWI,Malawi Kwacha,MWK,157,921.3087,Foreign currency amount for 1 Euro ,2021-12-28
MALAYSIA,Ringgit,MYR,055,4.7369,Foreign currency amount for 1 Euro ,2021-12-28
MALDIVES,Rufiyaa,MVR,158,17.4384,Foreign currency amount for 1 Euro ,2021-12-28
MALI,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
MAURITANIA,Ouguiya,MRU,282,41.143,Foreign currency amount for 1 Euro ,2021-12-28
MAURITIUS,Mauritian Rupee,MUR,170,49.6722,Foreign currency amount for 1 Euro ,2021-12-28
MEXICO,Mexican Peso,MXN,222,23.4003,Foreign currency amount for 1 Euro ,2021-12-28
MOLDOVA,Moldovan Leu,MDL,235,20.1430,Foreign currency amount for 1 Euro ,2021-12-28
MONGOLIA,Tugrik,MNT,160,3227.78,Foreign currency amount for 1 Euro ,2021-12-28
MOROCCO,Moroccan Dirham,MAD,084,10.511,Foreign currency amount for 1 Euro ,2021-12-28
MOZAMBIQUE,New Mozambique Metical,MZN,272,72.51,Foreign currency amount for 1 Euro ,2021-12-28
MYANMAR,Kyat,MMK,107,2014.7,Foreign currency amount for 1 Euro ,2021-12-28
NAMIBIA,Namibian Dollar,NAD,252,17.8113,Foreign currency amount for 1 Euro ,2021-12-28
NEPAL,Nepalese Rupee,NPR,161,135.4136,Foreign currency amount for 1 Euro ,2021-12-28
NETHERLANDS ANTILLES,Netherlands Antillean Guilder,ANG,132,2.0282,Foreign currency amount for 1 Euro ,2021-12-28
NEW ZEALAND,New Zealand Dollar,NZD,113,1.6602,Foreign currency amount for 1 Euro ,2021-12-28
NICARAGUA,Cordoba,NIO,120,40.1514,Foreign currency amount for 1 Euro ,2021-12-28
NIGER,CFA Franc,XOF,209,655.957,Foreign currency amount for 1 Euro ,2021-12-28
NIGERIA,Naira,NGN,081,466.2140,Foreign currency amount for 1 Euro ,2021-12-28
NORWAY,Norwegian Krone,NOK,008,9.9728,Foreign currency amount for 1 Euro ,2021-12-28
OMAN,Rial Omani,OMR,184,0.4357,Foreign currency amount for 1 Euro ,2021-12-28
PAKISTAN,Pakistan Rupee,PKR,026,202.2963,Foreign currency amount for 1 Euro ,2021-12-28
PANAMA,Balboa,PAB,162,1.1331,Foreign currency amount for 1 Euro ,2021-12-28
PAPUA NEW GUINEA,Kina,PGK,190,3.9772,Foreign currency amount for 1 Euro ,2021-12-28
PARAGUAY,Paraguayan Guarani,PYG,101,7710.82,Foreign currency amount for 1 Euro ,2021-12-28
PERU,Nuevo Sol,PEN,201,4.5219,Foreign currency amount for 1 Euro ,2021-12-28
PHILIPPINES,Philippine Peso,PHP,066,57.2880,Foreign currency amount for 1 Euro ,2021-12-28
POLAND,Zloty,PLN,237,4.6063,Foreign currency amount for 1 Euro ,2021-12-28
QATAR,Qatar Riyal,QAR,189,4.1245,Foreign currency amount for 1 Euro ,2021-12-28
ROMANIA,New Romanian Leu,RON,270,4.9500,Foreign currency amount for 1 Euro ,2021-12-28
RUSSIAN FEDERATION,Russian Ruble,RUB,244,83.4446,Foreign currency amount for 1 Euro ,2021-12-28
